,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,plot-size,construction-period,garden-surface-area,postcode,date
46,1450,2312 VT Leiden (Marewijk),Apartment Duizenddraadsteeg,Rent2day Real Estate,/apartment-for-rent/leiden/9b7f1fa9/duizenddraadsteeg,https://casco-media-prod.global.ssl.fastly.net/9b7f1fa9-fa14-560b-bac3-9e6fd3b77b7f/c58f52bb23a1b25be36e26d937a59993.jpg?width=600&auto=webp,60,,3,Upholstered,,,,2312VT,2021-11-02
47,1850,1082 SV Amsterdam (Buitenveldert-West),Apartment Wedderborg 5,Renthouse Vastgoed,/apartment-for-rent/amsterdam/86901636/wedderborg,https://media.pararius.nl/image/PR0001659000/PR0001659547/image/jpeg/400x600/AmsterdamWedderborg-7f84_1.jpg,70,,3,Upholstered or furnished,,,,1082SV,2021-11-02
48,1400,1073 XW Amsterdam (Oude Pijp),Apartment Tweede Jacob van Campenstraat,YP Housing,/apartment-for-rent/amsterdam/c59176ec/tweede-jacob-van-campenstraat,https://media.pararius.nl/image/PR0001659000/PR0001659546/image/jpeg/400x600/AmsterdamTweedeJacobvanCampenstraat-4f36_1.jpg,60,,2,Upholstered,,,,1073XW,2021-11-02
49,1600,9725 LB Groningen (Rivierenbuurt),Apartment Fongersplaats 27,REC Vastgoed,/apartment-for-rent/groningen/0ec56fe8/fongersplaats,https://media.pararius.nl/image/PR0001659000/PR0001659545/image/jpeg/400x600/GroningenFongersplaats-10a8_1.jpg,102,,4,Furnished,,,,9725LB,2021-11-02
50,695,6415 PX Heerlen (Burettestraat en omgeving),Apartment Schandelerboord,123Wonen Limburg,/apartment-for-rent/heerlen/0334a6c3/schandelerboord,https://casco-media-prod.global.ssl.fastly.net/0334a6c3-8334-55ff-93ac-a226ff3a25a0/3c102f254d72cf1224657ae841970a39.jpg?width=600&auto=webp,52,,2,Upholstered,,,,6415PX,2021-11-02
51,1250,3111 AE Schiedam (De Plantage),Apartment Lange Nieuwstraat,Dop & Dop Consultancy,/apartment-for-rent/schiedam/9858f942/lange-nieuwstraat,https://casco-media-prod.global.ssl.fastly.net/9858f942-ce76-5f58-84ca-6974abbde42b/190571833d4450602f8bb60c51f50acb.jpg?width=600&auto=webp,65,,2,Furnished,,,,3111AE,2021-11-02
52,1450,3062 KC Rotterdam (Kralingen Oost),Apartment Polanenstraat,Riva Rentals,/apartment-for-rent/rotterdam/1dec9e8b/polanenstraat,https://casco-media-prod.global.ssl.fastly.net/1dec9e8b-b6fd-51c3-b9ca-b29ff9279480/44f51b3b07a72c0819e7aa8b2d4ef411.jpg?width=600&auto=webp,68,,2,Furnished,,,,3062KC,2021-11-02
53,1450,3015 BC Rotterdam (Oude Westen),Apartment Nieuwe Binnenweg,Riva Rentals,/apartment-for-rent/rotterdam/5be29c36/nieuwe-binnenweg,https://casco-media-prod.global.ssl.fastly.net/5be29c36-6862-5372-8ffc-41fea61baf48/b391c73ae8c7ff987099491b8b015d9c.jpg?width=600&auto=webp,75,,2,Furnished,,,,3015BC,2021-11-02
54,3200,1071 CG Amsterdam (Museumkwartier),Apartment Pieter Cornelisz. Hooftstraat,Huisportaal.nl,/apartment-for-rent/amsterdam/1b825bd5/pieter-cornelisz-hooftstraat,https://casco-media-prod.global.ssl.fastly.net/1b825bd5-eccc-5ace-9081-5cf5fbcf8585/b5fbc5fed74b78937c3f4c5509993e47.jpg?width=600&auto=webp,79,,3,,,1906,,1071CG,2021-11-02
55,850,9711 JB Groningen (Binnenstad-Zuid),Apartment Akerkhof,Ben-s.nl verhuur en beheer,/apartment-for-rent/groningen/5079d09f/akerkhof,https://casco-media-prod.global.ssl.fastly.net/5079d09f-606b-53f2-bcd2-3a5a8f549da9/4c0353d9daa00397d14a76f41d8f9118.jpg?width=600&auto=webp,41,,2,Upholstered or furnished,,,,9711JB,2021-11-02
