,price,address,street,agency,irl,image,Living area,Rooms,Year of construction,interior,status,garden area,plot area,postcode,date
5016,1250,2611 MZ Delft (Centrum-Zuidwest),Apartment Zuidwal 11,Oude Delft Makelaardij,/apartment-for-rent/delft/8ade0423/zuidwal,https://casco-media-prod.global.ssl.fastly.net/8ade0423-a64e-5605-a7ba-66c4b56d4a35/d4c97b0a5ce98c0bc0286494464f8caf.jpg?width=600&auto=webp,65,2,1987,Upholstered,,,,2611MZ,2021-08-30
5017,2500,1015 AR Amsterdam (Grachtengordel-West),Apartment Korsjespoortsteeg 18 1,DSTRCT Amsterdam,/apartment-for-rent/amsterdam/935fe0e9/korsjespoortsteeg,https://casco-media-prod.global.ssl.fastly.net/935fe0e9-bd9c-5863-b739-3827dceca13f/45b93b8ce892c3d797e986b0982d0280.jpg?width=600&auto=webp,85,2,1640,Furnished,,,,1015AR,2021-08-30
5018,1600,4331 HP Middelburg (Damplein),Apartment Korendijk,Rotsvast Middelburg,/apartment-for-rent/middelburg/81dfded3/korendijk,https://casco-media-prod.global.ssl.fastly.net/81dfded3-5340-542d-b73c-82f7a9fe4598/2b313e34f4a20c4f1b2338850d066035.jpg?width=600&auto=webp,80,3,1722,Furnished,,,,4331HP,2021-08-30
5019,1500,8043 PD Zwolle (Frankhuis),House Hasselterdijk 34 B,Overbruggingsverhuur.nl,/house-for-rent/zwolle/a55b9a1b/hasselterdijk,https://media.pararius.nl/image/PR0001653000/PR0001653757/image/jpeg/400x600/ZwolleHasselterdijk-9197_1.jpg,109,4,2015,Furnished,,,,8043PD,2021-08-30
5020,850,6828 AG Arnhem (Hommelstraat),Apartment Patersstraat,HouseHunting Arnhem Nijmegen,/apartment-for-rent/arnhem/b235b653/patersstraat,https://casco-media-prod.global.ssl.fastly.net/b235b653-88ca-514b-ba5b-4b0fa56000cb/c16d3387bd05f3adea27f36f36c49585.jpg?width=600&auto=webp,31,1,2021,Furnished,,,,6828AG,2021-08-30
5021,2200,5623 RE Eindhoven (Oude Toren),Apartment Scottlaan,Holland Housing Center,/apartment-for-rent/eindhoven/6676f3a8/scottlaan,https://casco-media-prod.global.ssl.fastly.net/6676f3a8-00ac-5876-8558-1560c9e979ae/a0cdf27a7f8f74306447d9790a6101aa.jpg?width=600&auto=webp,141,4,1980,Upholstered,,,,5623RE,2021-08-30
5022,1295,2624 DD Delft (Voorhof-Hoogbouw),Apartment Bosboom-Toussaintplein 3,Oude Delft Makelaardij,/apartment-for-rent/delft/b6ecd051/bosboom-toussaintplein,https://casco-media-prod.global.ssl.fastly.net/b6ecd051-e143-54aa-9c2a-ddc5864b5dcf/81d4efcfe25024db0fba606c4f9cceb7.jpg?width=600&auto=webp,64,3,1960,Upholstered or furnished,,,,2624DD,2021-08-30
5023,1395,1034 MV Amsterdam (Banne Buiksloot),Apartment Fokkezeil,Overbruggingsverhuur.nl,/apartment-for-rent/amsterdam/100a73fb/fokkezeil,https://media.pararius.nl/image/PR0001653000/PR0001653722/image/jpeg/400x600/AmsterdamFokkezeil-a205_1.jpg,71,3,1974,Upholstered,,,,1034MV,2021-08-30
5024,1349,3012 JM Rotterdam (Cool),House Jacobusstraat 199,Woonstad Rotterdam,/house-for-rent/rotterdam/51261173/jacobusstraat,https://casco-media-prod.global.ssl.fastly.net/51261173-9a98-538a-8071-136660262b16/707596cf3a4a6a49133f8f7239f87b0f.jpg?width=600&auto=webp,86,2,1873,Shell,,,,3012JM,2021-08-30
5025,1395,5644 GJ Eindhoven (Gerardusplein),Apartment Roostenlaan,Lightcity Housing,/apartment-for-rent/eindhoven/59aa7596/roostenlaan,https://casco-media-prod.global.ssl.fastly.net/59aa7596-9f97-5252-9e5a-b5181a9ff40e/5c22fd5248b16d37c8be8df1cd14c510.jpg?width=600&auto=webp,80,3,,Furnished,,,,5644GJ,2021-08-30
5026,1250,5211 NB Den Bosch (Binnenstad-Oost),House Schilderstraat,Domica Den Bosch,/house-for-rent/den-bosch/f3c1505b/schilderstraat,https://casco-media-prod.global.ssl.fastly.net/f3c1505b-6493-5d10-8d6f-cea123370694/8b58f75f26c11a736cf8b931c8e2ff16.jpg?width=600&auto=webp,72,3,1900,Upholstered,,,,5211NB,2021-08-30
5027,2500,7345 AL Wenum Wiesel (Agrarisch gebied Wenum),House Zwolseweg,NederWoon Verhuurmakelaars Apeldoorn,/house-for-rent/wenum-wiesel/5046f9ee/zwolseweg,https://casco-media-prod.global.ssl.fastly.net/5046f9ee-7e40-507e-965b-3ffa653dffbe/23b1f78651f6f4450ad933958581d72f.jpg?width=600&auto=webp,400,8,,Furnished,,,,7345AL,2021-08-30
5028,2500,2514 BP Den Haag (Voorhout),Apartment Nieuwe Uitleg 8 B,Kimmel & Co. Makelaarskantoor o.g. b.v.,/apartment-for-rent/den-haag/bce6ce9e/nieuwe-uitleg,https://casco-media-prod.global.ssl.fastly.net/bce6ce9e-b82f-51a5-afa5-73071d5d5b3e/9f77fec53622c3a67ca47c76d1f82930.jpg?width=600&auto=webp,140,3,1991-2000,Upholstered,,,,2514BP,2021-08-30
5029,2795,2661 ST Bergschenhoek (Oosteindsche Ackers),House Van Keulendreef,VERRA Real Estate Rotterdam,/house-for-rent/bergschenhoek/7db6cfd1/van-keulendreef,https://casco-media-prod.global.ssl.fastly.net/7db6cfd1-7ed5-5e6a-9bd8-a82079586f99/ef606eebe098a5439779103ca7ca149f.jpg?width=600&auto=webp,168,7,1999,Upholstered or furnished,,,,2661ST,2021-08-30
5030,4200,2582 AD Den Haag (Stadhoudersplantsoen),House Cornelis de Wittlaan,Reichman & Rommelaar Den Haag,/house-for-rent/den-haag/31535685/cornelis-de-wittlaan,https://casco-media-prod.global.ssl.fastly.net/31535685-19b8-55f7-86ba-6b99ac8889d6/a6cbe9a411cf182c85e1d5b639140035.jpg?width=600&auto=webp,260,7,1905,,,,166 m²,2582AD,2021-08-30
