,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,construction-period,garden-surface-area,plot-size,postcode,date
1529,1500,3011 VZ Rotterdam (Stadsdriehoek),Apartment Wijnkade 5,Stad en Land Makelaars,/apartment-for-rent/rotterdam/269e6657/wijnkade,https://casco-media-prod.global.ssl.fastly.net/269e6657-f5c0-5e8d-8b45-0e8a0e2523bd/d2e2b8d32ea7b3d5227d5c372a7f94f2.jpg?width=600&auto=webp,75,,3,Upholstered,,,,3011VZ,2021-10-14
1530,695,6828 EJ Arnhem (Spijkerbuurt),Studio Driekoningendwarsstraat,DdeG Vastgoed bv,/studio-for-rent/arnhem/05427551/driekoningendwarsstraat,https://casco-media-prod.global.ssl.fastly.net/05427551-0ea3-51dc-9214-26a48482b85f/6570d43fd5bfc6dd70afeaa31102ff95.jpg?width=600&auto=webp,22,,1,,1800,,,6828EJ,2021-10-14
1531,2300,1013 MM Amsterdam (Haarlemmerbuurt),Apartment IJdok 53,Van Huis Uit Makelaars,/apartment-for-rent/amsterdam/3a3fb842/ijdok,https://casco-media-prod.global.ssl.fastly.net/3a3fb842-6014-54a3-91ac-037a1f424510/787f17a44d8eae1b4d826f9a7197349a.jpg?width=600&auto=webp,121,,3,Furnished,,,,1013MM,2021-10-14
1532,600,5666 KB Geldrop (Braakhuizen-Zuid),Apartment Mierloseweg,HouseHunting Eindhoven,/apartment-for-rent/geldrop/2f6a23fb/mierloseweg,https://casco-media-prod.global.ssl.fastly.net/2f6a23fb-b9d9-513d-9b41-2f4343f95556/d068bd681609a26940a8d865f83c4c97.jpg?width=600&auto=webp,22,,1,Furnished,,,,5666KB,2021-10-14
1533,720,5643 PA Eindhoven (Sintenbuurt),Apartment Piuslaan,HouseHunting Eindhoven,/apartment-for-rent/eindhoven/65516df1/piuslaan,https://casco-media-prod.global.ssl.fastly.net/65516df1-8c78-5e23-944c-03eaa63edfcf/bdaeeaed7d44716203eef65470461c62.jpg?width=600&auto=webp,45,,2,Furnished,,,,5643PA,2021-10-14
1534,865,3555 HP Utrecht (Zuilen-Noord),Apartment Amsterdamsestraatweg 929 2vz,Your-House,/apartment-for-rent/utrecht/79ad2bc0/amsterdamsestraatweg,https://casco-media-prod.global.ssl.fastly.net/79ad2bc0-1504-5a60-8595-c1b287b56e5b/69db215c366e3104cdff1f0d86323ed0.jpg?width=600&auto=webp,30,,2,Shell,,,,3555HP,2021-10-14
1535,995,2563 CJ Den Haag (Valkenboskwartier),Apartment Valkenboslaan 119 1,ViaDaan,/apartment-for-rent/den-haag/dc3b2c07/valkenboslaan,https://casco-media-prod.global.ssl.fastly.net/dc3b2c07-98b4-5382-9a5d-b0d362796fb6/c4270c004c19c274c99a28af4c3699f3.jpg?width=600&auto=webp,53,,2,Upholstered,,,,2563CJ,2021-10-14
1536,1995,3011 XB Rotterdam (Stadsdriehoek),Apartment Boompjes,Fransen Vastgoed,/apartment-for-rent/rotterdam/b2788bae/boompjes,https://media.pararius.nl/image/PR0001658000/PR0001658268/image/jpeg/400x600/RotterdamBoompjes-39ab_11.jpg,72,,2,Furnished,,,,3011XB,2021-10-14
1537,1455,6213 EG Maastricht (Wolder),Apartment Médoclaan,Star Housing,/apartment-for-rent/maastricht/fe660b22/medoclaan,https://casco-media-prod.global.ssl.fastly.net/fe660b22-952a-5320-a74a-2c1e6f9ef648/c1587e2151905c927e1ea35cb4abfa1e.jpg?width=600&auto=webp,82,,3,Upholstered,,,,6213EG,2021-10-14
1538,1155,3134 VS Vlaardingen (Oostbuurt),Apartment Parkweg,ViaDaan,/apartment-for-rent/vlaardingen/123226cb/parkweg,https://casco-media-prod.global.ssl.fastly.net/123226cb-2dbc-53cc-a67c-002e9f089508/d1581814c101e2b5d47b68da3b388732.jpg?width=600&auto=webp,54,,2,Upholstered or furnished,,,,3134VS,2021-10-14
