,price,address,street,agency,irl,image,status,postcode,date
56,1250,3012 AL Rotterdam (Cool),Apartment Van Oldenbarneveltplaats 282,Ooms Makelaars Woningen,/apartment-for-rent/rotterdam/1d5fb9c2/van-oldenbarneveltplaats,https://casco-media-prod.global.ssl.fastly.net/1d5fb9c2-7575-5f48-841a-076a6c125b9d/31faf4c60c33b815f5a67a6603de2ee0.jpg?width=600&auto=webp,,3012AL,2021-10-07
57,5300,1071 BP Amsterdam (Museumkwartier),Apartment Pieter Cornelisz. Hooftstraat 69 I,Engel en Volkers Amsterdam ,/apartment-for-rent/amsterdam/9fc42fcd/pieter-cornelisz-hooftstraat,https://casco-media-prod.global.ssl.fastly.net/9fc42fcd-4b11-52e1-a8c0-2275ca3191ca/7af99428b96a25d6ee497172d48306a9.jpg?width=600&auto=webp,,1071BP,2021-10-07
58,1700,1052 KC Amsterdam (Frederik Hendrikbuurt),Apartment Van Oldenbarneveldtstraat,BenS Makelaars,/apartment-for-rent/amsterdam/659bb6f9/van-oldenbarneveldtstraat,https://casco-media-prod.global.ssl.fastly.net/659bb6f9-2856-5bbd-9bf5-29d3faf2e457/c704d2df45da2bbc58aaa620796fb27f.jpg?width=600&auto=webp,,1052KC,2021-10-07
59,1750,1058 TA Amsterdam (Hoofddorppleinbuurt),Apartment Woestduinstraat 37 II,BrinkBorgh Makelaardij,/apartment-for-rent/amsterdam/eaf69627/woestduinstraat,https://casco-media-prod.global.ssl.fastly.net/eaf69627-9326-5002-9b52-0165be795dbb/268dcff4df4b4ccede541b2e39d2f7c7.jpg?width=600&auto=webp,,1058TA,2021-10-07
60,1850,1011 CX Amsterdam (Nieuwmarkt/Lastage),Apartment Recht Boomssloot 83 III,JLG Real Estate,/apartment-for-rent/amsterdam/e7db53b7/recht-boomssloot,https://casco-media-prod.global.ssl.fastly.net/e7db53b7-5a77-526d-ae27-f17708528671/54b373947f1cbdceee5a82d466db085c.jpg?width=600&auto=webp,,1011CX,2021-10-07
61,1350,1033 PA Amsterdam (Tuindorp Oostzaan),Apartment Nageljongenstraat 3,JLG Real Estate,/apartment-for-rent/amsterdam/a5b1a625/nageljongenstraat,https://casco-media-prod.global.ssl.fastly.net/a5b1a625-a754-5d70-a4b3-f560b5839df7/38ad4006af276c29748fd1c53fc46a59.jpg?width=600&auto=webp,,1033PA,2021-10-07
62,1650,1012 VH Amsterdam (Burgwallen-Nieuwe Zijde),Apartment Singel 123 D,Hoen Vastgoedbeheer ,/apartment-for-rent/amsterdam/58a9564c/singel,https://casco-media-prod.global.ssl.fastly.net/58a9564c-9fad-56af-aaec-73e56e736134/1eac1aa785e7e4b8febd4003b2f2cbd2.jpg?width=600&auto=webp,,1012VH,2021-10-07
63,1650,1012 VH Amsterdam (Burgwallen-Nieuwe Zijde),Apartment Singel 125 I,Hoen Vastgoedbeheer ,/apartment-for-rent/amsterdam/872f2c3b/singel,https://casco-media-prod.global.ssl.fastly.net/872f2c3b-ade3-5690-978f-3c4271cae70a/1eac1aa785e7e4b8febd4003b2f2cbd2.jpg?width=600&auto=webp,,1012VH,2021-10-07
64,1895,3063 BX Rotterdam (Struisenburg),Apartment Specerijenhof,Dop & Dop Consultancy,/apartment-for-rent/rotterdam/e0b6f70b/specerijenhof,https://casco-media-prod.global.ssl.fastly.net/e0b6f70b-2257-5f3d-bff3-70f3b46c90e5/60b27f162f9e6465e67f3bdd1fffd204.jpg?width=600&auto=webp,,3063BX,2021-10-07
65,1175,2547 GN Den Haag (Rustenburg),Apartment Escamplaan,Level 5 Rental Agency,/apartment-for-rent/den-haag/46286ea5/escamplaan,https://casco-media-prod.global.ssl.fastly.net/46286ea5-4e0a-5073-835b-635bdb252083/e7345b288b30da88b3276678864839d1.jpg?width=600&auto=webp,,2547GN,2021-10-07
66,1250,2011 VJ Haarlem (Vijfhoek),Apartment Wilhelminastraat,Koops Makelaardij,/apartment-for-rent/haarlem/c2b8c3cc/wilhelminastraat,https://casco-media-prod.global.ssl.fastly.net/c2b8c3cc-729a-55c8-b9de-d7ecad3fad2f/fa8781fcedbf50189a3f701c9e1276cc.jpg?width=600&auto=webp,,2011VJ,2021-10-07
67,1495,2104 WC Heemstede (Glipper Dreef en Staatsliedenbuurt),Apartment Glipper Dreef 123,Prinsen Residence International,/apartment-for-rent/heemstede/7b74fc64/glipper-dreef,https://casco-media-prod.global.ssl.fastly.net/7b74fc64-0a24-5351-88ee-e1cebf049f6a/e11a45451a68aaf3d633a58c65a5894d.jpg?width=600&auto=webp,,2104WC,2021-10-07
68,840,6211 JL Maastricht (Jekerkwartier),House Kleine Looiersstraat,Maasland Relocation,/house-for-rent/maastricht/572aac2f/kleine-looiersstraat,https://casco-media-prod.global.ssl.fastly.net/572aac2f-6e42-5b56-b0c4-41c61276b65e/714ace53be4e462231eb3c68b281e90b.jpg?width=600&auto=webp,,6211JL,2021-10-07
69,1750,1058 CM Amsterdam (Westindische Buurt),Apartment Van Walbeeckstraat,Match&Rent,/apartment-for-rent/amsterdam/e4a367b2/van-walbeeckstraat,https://casco-media-prod.global.ssl.fastly.net/e4a367b2-2883-5d30-aa4e-2726d584084a/18226cb8bd757ad44572838ee2c1ddef.jpg?width=600&auto=webp,,1058CM,2021-10-07
70,917,3081 GC Rotterdam (Tarwewijk),Apartment Mijnsherenlaan,At Home Vastgoed Beheer BV,/apartment-for-rent/rotterdam/87387265/mijnsherenlaan,https://casco-media-prod.global.ssl.fastly.net/87387265-7599-5d55-8ae4-488a4dfb2ce2/2a4752c65ef1b816e668b96a4aa9713d.jpg?width=600&auto=webp,,3081GC,2021-10-07
71,1550,6226 CX Maastricht (Scharn),House Vrijheidslaan,Prohousing,/house-for-rent/maastricht/576d0da5/vrijheidslaan,https://casco-media-prod.global.ssl.fastly.net/576d0da5-fbc9-5edd-b2fd-8b8a52faa40e/0a144eb44706058a1b7a82af5b91e9dc.jpg?width=600&auto=webp,,6226CX,2021-10-07
72,765,6211 RA Maastricht (Statenkwartier),Studio Herbenusstraat,Prohousing,/studio-for-rent/maastricht/46e0b4ac/herbenusstraat,https://casco-media-prod.global.ssl.fastly.net/46e0b4ac-ce61-54e1-856b-f66b63196a97/2cdd4dea18ca78f3a953f0c8efccc047.jpg?width=600&auto=webp,,6211RA,2021-10-07
73,1125,6221 AP Maastricht (Sint Maartenspoort),Apartment Lyonnetstraat,Prohousing,/apartment-for-rent/maastricht/8fd3e8cf/lyonnetstraat,https://casco-media-prod.global.ssl.fastly.net/8fd3e8cf-75df-5e43-88b6-eece86c1d724/6b27a303edebef340fdcd0d8265ac058.jpg?width=600&auto=webp,,6221AP,2021-10-07
74,1450,6221 GJ Maastricht (Heugemerveld),Apartment Heugemerweg,Prohousing,/apartment-for-rent/maastricht/d411348f/heugemerweg,https://casco-media-prod.global.ssl.fastly.net/d411348f-e621-5deb-b267-b3937de36941/a88fc7ae596c79c5677f4b1b5b43d224.jpg?width=600&auto=webp,,6221GJ,2021-10-07
75,1200,6222 XJ Maastricht (Nazareth),Apartment Kasteel Bleienbeekstraat,Prohousing,/apartment-for-rent/maastricht/76b1670b/kasteel-bleienbeekstraat,https://casco-media-prod.global.ssl.fastly.net/76b1670b-2dfa-55be-8636-01354b729c04/3872576be166ce89e72571dc5bd111cc.jpg?width=600&auto=webp,,6222XJ,2021-10-07
76,695,6225 BH Maastricht (Amby),Studio Hélène Schoenmaeckersstraat,Prohousing,/studio-for-rent/maastricht/522bad3e/helene-schoenmaeckersstraat,https://casco-media-prod.global.ssl.fastly.net/522bad3e-2f3c-55bc-ad86-a136285cfce2/5381fb8ac0c683f5e018e23b88f3c9b5.jpg?width=600&auto=webp,,6225BH,2021-10-07
77,1400,9722 NC Groningen (Coendersborg),Apartment Thorbeckelaan 18,REC Vastgoed,/apartment-for-rent/groningen/a678eec0/thorbeckelaan,https://media.pararius.nl/image/PR0001658000/PR0001658974/image/jpeg/400x600/GroningenThorbeckelaan-4abd_1.jpg,,9722NC,2021-10-07
78,1095,3581 KK Utrecht (Oudwijk),Apartment Burgemeester Reigerstraat 23 BS,Van den Bos Vastgoed,/apartment-for-rent/utrecht/55fed47a/burgemeester-reigerstraat,https://media.pararius.nl/image/PR0001658000/PR0001658973/image/jpeg/400x600/UtrechtBurgemeesterReigerstraat-4e06_1.jpg,,3581KK,2021-10-07
