,price,address,street,agency,irl,image,Living area,Rooms,interior,status,Year of construction,plot area,garden area,postcode,date
38,1430,1187 LS Amstelveen (Theaterbuurt),Apartment Westwijkplein 21,Digimakelaars.nl - de makelaar van Nederland,/apartment-for-rent/amstelveen/fd05d4b7/westwijkplein,https://casco-media-prod.global.ssl.fastly.net/fd05d4b7-acbe-5c9a-a63f-f3e68a3c8582/bf92fb77d0496b548b87472b0a557ef9.jpg?width=600&auto=webp,96,3,Upholstered,,2016,,,1187LS,2021-08-25
39,1520,1019 HM Amsterdam (Oostelijk Havengebied),Apartment Purperhoedenveem 130,Digimakelaars.nl - de makelaar van Nederland,/apartment-for-rent/amsterdam/42ca4faf/purperhoedenveem,https://casco-media-prod.global.ssl.fastly.net/42ca4faf-8cbe-56ac-9ac5-766ad8660bc4/1ae5e17bf07b5364ec14f0fa2b61072a.jpg?width=600&auto=webp,100,2,Upholstered,,2006,,,1019HM,2021-08-25
40,1150,5616 NR Eindhoven (Philipsdorp),Apartment Iepenlaan,HouseHunting Eindhoven,/apartment-for-rent/eindhoven/7513cdbf/iepenlaan,https://casco-media-prod.global.ssl.fastly.net/7513cdbf-c67e-5da8-94fd-d686aa06f976/ad80316ef29062c564e3b56750f54396.jpg?width=600&auto=webp,55,2,Upholstered,,2020,,,5616NR,2021-08-25
41,995,4701 JM Roosendaal (Centrum-Oud),Apartment Molenstraat,CS Wonen,/apartment-for-rent/roosendaal/91e94d40/molenstraat,https://casco-media-prod.global.ssl.fastly.net/91e94d40-d3a1-503e-b138-a948a0849339/24a21b23a1945535f1448736970e9928.jpg?width=600&auto=webp,60,3,Upholstered,,,,,4701JM,2021-08-25
42,795,4901 HC Oosterhout (Centrum),Apartment Mathildastraat,123Wonen Breda,/apartment-for-rent/oosterhout-nb/a9694e6c/mathildastraat,https://casco-media-prod.global.ssl.fastly.net/a9694e6c-cd0f-548b-bf3f-ce9786a67bf6/8a15f014bceb8a52f2452e0e434b54a1.jpg?width=600&auto=webp,70,3,Furnished,,,,,4901HC,2021-08-25
43,1650,1081 GC Amsterdam (Buitenveldert-West),Apartment Assumburg,First Class Housing,/apartment-for-rent/amsterdam/cb4745e6/assumburg,https://casco-media-prod.global.ssl.fastly.net/cb4745e6-9087-5801-9622-45aaf323ee5f/cbe118d7313f0f1d3676456121674174.jpg?width=600&auto=webp,50,2,Furnished,,1967,,,1081GC,2021-08-25
44,752,9752 BL Haren Gn (Haren-Noord),Apartment Rijksstraatweg,Maxx Groningen,/apartment-for-rent/haren-gn/d06cae3a/rijksstraatweg,https://casco-media-prod.global.ssl.fastly.net/d06cae3a-bbf6-57e8-bb71-db1746bf16ae/080a80fdd79bf90cf34928715c3b77a2.png?width=600&auto=webp,40,2,Shell,,1950,,,9752BL,2021-08-25
45,2500,1862 KH Bergen (NH) (Boendermaker),Apartment Oude Bergerweg,123Wonen Alkmaar,/apartment-for-rent/bergen-nh/fd290701/oude-bergerweg,https://casco-media-prod.global.ssl.fastly.net/fd290701-c0a8-5ec9-9e5a-cc3db2a08710/b1c94036f1157c3c4231a83caa1fd66d.jpg?width=600&auto=webp,303,3,Upholstered,,,,,1862KH,2021-08-25
46,1050,2591 SX Den Haag (Landen),Apartment Isabellaland,W voor Wonen,/apartment-for-rent/den-haag/9821577a/isabellaland,https://casco-media-prod.global.ssl.fastly.net/9821577a-28d4-559a-ad74-dc9951c0bcf7/5c1be0b0565e030973f94e8a9c5c9f8a.jpg?width=600&auto=webp,80,4,Upholstered,,1960,,,2591SX,2021-08-25
47,1700,2573 HM Den Haag (Oostbroek-Noord),Apartment Elspeetstraat 29,Premium Huis Vastgoed B.V.,/apartment-for-rent/den-haag/1afbe9d9/elspeetstraat,https://casco-media-prod.global.ssl.fastly.net/1afbe9d9-fdf7-5c99-983b-4618a08f38d6/c4ce42a45f04c9b17f6b879f67a07a59.jpg?width=600&auto=webp,70,4,Upholstered,,1929,,,2573HM,2021-08-25
