,price,address,street,agency,irl,image,Living area,Rooms,interior,status,garden area,Year of construction,plot area,postcode,date
37,2475,1072 GR Amsterdam (Nieuwe Pijp),Apartment Rustenburgerstraat 335 HS,FRIS Vastgoed Management,/apartment-for-rent/amsterdam/e442a71e/rustenburgerstraat,https://casco-media-prod.global.ssl.fastly.net/e442a71e-c940-5893-b3b2-562c4fe427c2/0305f6d2675917e60800f9d1eaf35511.jpg?width=600&auto=webp,120,3,Upholstered,,,,,1072GR,2021-10-01
38,2200,1057 HK Amsterdam (Chassébuurt),Apartment Van Speijkstraat 154 H,FRIS Vastgoed Management,/apartment-for-rent/amsterdam/e80b7a2c/van-speijkstraat,https://casco-media-prod.global.ssl.fastly.net/e80b7a2c-38cf-5e8e-a455-9402c24cc3f9/860b079a81ec245ba8aa1d440e11ac91.jpg?width=600&auto=webp,120,4,Upholstered,,,,,1057HK,2021-10-01
39,1100,5613 GC Eindhoven (Lakerlopen),Apartment Jeroen Boschlaan,HouseHunting Eindhoven,/apartment-for-rent/eindhoven/3524c46c/jeroen-boschlaan,https://casco-media-prod.global.ssl.fastly.net/3524c46c-49ae-5fdf-9706-7e686e6ae3be/158ec19d89134eee61f23a64daa7608f.jpg?width=600&auto=webp,41,2,Furnished,,,,,5613GC,2021-10-01
40,1490,1019 HM Amsterdam (Oostelijk Havengebied),Apartment Purperhoedenveem 30,Digimakelaars.nl - de makelaar van Nederland,/apartment-for-rent/amsterdam/b4886949/purperhoedenveem,https://casco-media-prod.global.ssl.fastly.net/b4886949-3fd2-5bf0-bfa0-32366c00360f/1ae5e17bf07b5364ec14f0fa2b61072a.jpg?width=600&auto=webp,99,2,Upholstered,,,,,1019HM,2021-10-01
41,822,3051 JR Rotterdam (Hillegersberg Zuid),Apartment Uitweg,Rent an Apartment,/apartment-for-rent/rotterdam/2e94cb77/uitweg,https://casco-media-prod.global.ssl.fastly.net/2e94cb77-3cbc-5eb4-82b1-75806db91586/21dc945ce132c1f99572c98f346b19f6.jpg?width=600&auto=webp,68,3,Upholstered,,,,,3051JR,2021-10-01
42,1150,3012 LB Rotterdam (Cool),Apartment Eendrachtsweg,Rent an Apartment,/apartment-for-rent/rotterdam/65ab9318/eendrachtsweg,https://casco-media-prod.global.ssl.fastly.net/65ab9318-4b20-53e6-963c-20c5fa1fa68f/6304012c876df2e08d65f37ad7713c12.jpg?width=600&auto=webp,80,2,Upholstered,,,,,3012LB,2021-10-01
43,995,3024 TT Rotterdam (Delfshaven),Apartment Schoonderloostraat,Rent an Apartment,/apartment-for-rent/rotterdam/084bdfdd/schoonderloostraat,https://casco-media-prod.global.ssl.fastly.net/084bdfdd-9af0-552f-aff8-4978381b9608/9d8f37e78cbecf865aa03d12258bbc69.jpg?width=600&auto=webp,49,2,Upholstered,,,,,3024TT,2021-10-01
44,854,3063 BG Rotterdam (Struisenburg),Apartment Oostzeedijk,Rent an Apartment,/apartment-for-rent/rotterdam/3fe962d2/oostzeedijk,https://casco-media-prod.global.ssl.fastly.net/3fe962d2-db4a-5cbd-96a6-9d4489e17212/618d4b6a51eff2a876322872ef63f9b4.jpg?width=600&auto=webp,42,1,Upholstered,,,,,3063BG,2021-10-01
45,386,5911 KC Venlo (Winkelcentrum),Studio Koninginnesingel 26 K2,geWOON Makelaardij,/studio-for-rent/venlo/3cfb21ec/koninginnesingel,https://casco-media-prod.global.ssl.fastly.net/3cfb21ec-5516-5587-bd35-3a780cfe2e63/5ff9de1c22b7f7dca1f7527385abf9f0.jpg?width=600&auto=webp,9,1,,,,1959,,5911KC,2021-10-01
46,1550,1013 AS Amsterdam (Houthavens),Apartment Silodam,123Wonen Amsterdam,/apartment-for-rent/amsterdam/99dc9b5a/silodam,https://casco-media-prod.global.ssl.fastly.net/99dc9b5a-f009-5149-b7c9-ba547733a8d4/63bdb6407f08e9ce8ef95b5dc8ff2fc1.jpg?width=600&auto=webp,63,1,,,,,,1013AS,2021-10-01
47,2200,1012 KW Amsterdam (Burgwallen-Nieuwe Zijde),Apartment Rokin 66 2,Consilium BV,/apartment-for-rent/amsterdam/e62411a3/rokin,https://casco-media-prod.global.ssl.fastly.net/e62411a3-f08c-5b27-aca2-424ed061f742/c6bb32a721df7af6d87e92bd5a7cfc18.jpg?width=600&auto=webp,85,3,Furnished,,,,,1012KW,2021-10-01
48,1250,4811 LZ Breda (Fellenoord),Apartment Pelmolenhof,Stadhuis Breda,/apartment-for-rent/breda/aa26332a/pelmolenhof,https://casco-media-prod.global.ssl.fastly.net/aa26332a-0654-5a1e-9bf9-6c06cfce9d8f/8638143ffd75660a15aea2a7130e6fc7.jpg?width=600&auto=webp,65,3,Upholstered,,,,,4811LZ,2021-10-01
49,1250,3431 HN Nieuwegein (Stadscentrum),Apartment Bankstede 34,Wij Makelaardij,/apartment-for-rent/nieuwegein/26d1439a/bankstede,https://casco-media-prod.global.ssl.fastly.net/26d1439a-cd64-5f43-93aa-5564b9220179/789b257c8079f63d490c1691d2ce71ed.jpg?width=600&auto=webp,75,3,,,,1984,,3431HN,2021-10-01
50,1450,1112 ZK Diemen (Holland Park),Apartment Carel Willinkgracht,LV Housing,/apartment-for-rent/diemen/ed13caec/carel-willinkgracht,https://casco-media-prod.global.ssl.fastly.net/ed13caec-b7ad-5622-9b19-07718dc1b258/77b8f90932489af527a4f995ccbca346.jpg?width=600&auto=webp,70,3,Upholstered,,,,,1112ZK,2021-10-01
51,490,3701 HB Zeist (Centrumschil-Zuid),Room 1e Dorpsstraat,Lexis Real Estate,/room-for-rent/zeist/6875ab96/1e-dorpsstraat,https://casco-media-prod.global.ssl.fastly.net/6875ab96-9d02-56b3-9879-5a90dc9c7564/831b3e66fee47fe667baa6a7fbaa8d7e.jpg?width=600&auto=webp,20,1,Shell,,,,,3701HB,2021-10-01
52,3250,3514 VJ Utrecht (Vogelenbuurt),House Grietstraat,Interhouse verhuurmakelaars Utrecht,/house-for-rent/utrecht/699ead0c/grietstraat,https://casco-media-prod.global.ssl.fastly.net/699ead0c-7cc1-5ed9-8f14-3f6b23b87e1e/07c91df9cf31f3741b7f6465eaa13a09.jpg?width=600&auto=webp,130,5,Furnished,,,,,3514VJ,2021-10-01
53,775,2512 EB Den Haag (Zuidwal),Apartment Lange Beestenmarkt,Woonzeker Rentals,/apartment-for-rent/den-haag/8614c7dd/lange-beestenmarkt,https://casco-media-prod.global.ssl.fastly.net/8614c7dd-ecd8-5fbc-90b0-701708c40045/3846d2594025f951d1f8d6817222b099.jpg?width=600&auto=webp,39,1,Upholstered,,,,,2512EB,2021-10-01
54,725,2562 VS Den Haag (Koningsplein en omgeving),Studio Kepplerstraat,Woonzeker Rentals,/studio-for-rent/den-haag/7351a875/kepplerstraat,https://casco-media-prod.global.ssl.fastly.net/7351a875-b976-508d-b0df-a5282bf022b6/d6b0389715ce21ac154f00cb7e6f7249.jpg?width=600&auto=webp,21,1,Upholstered,,,,,2562VS,2021-10-01
55,2450,2582 VG Den Haag (Statenkwartier),Apartment Van Beverningkstraat,Plink Garantiemakelaars,/apartment-for-rent/den-haag/af55eb6e/van-beverningkstraat,https://casco-media-prod.global.ssl.fastly.net/af55eb6e-6ee4-5e6f-9077-0503772ab4b7/deb6798a15152bfd88b16edc3a8458ec.jpg?width=600&auto=webp,136,6,,,,1924,,2582VG,2021-10-01
56,450,5211 DW Den Bosch (Binnenstad-Centrum),Room Postelstraat,STU-makelaardij B.V.,/room-for-rent/den-bosch/fbb2a703/postelstraat,https://media.pararius.nl/image/PR0001658000/PR0001658783/image/jpeg/400x600/DenBoschPostelstraat-dd70_7.jpg,14,1,Upholstered,,,,,5211DW,2021-10-01
57,1075,2512 EA Den Haag (Zuidwal),House Herderinnestraat,070Wonen,/house-for-rent/den-haag/e1e0cebf/herderinnestraat,https://casco-media-prod.global.ssl.fastly.net/e1e0cebf-c89e-5c02-a37f-19180303d22d/571add8936dc731dec69ecd31e0aa4ca.jpg?width=600&auto=webp,49,3,,,,1900,,2512EA,2021-10-01
58,1175,2512 EA Den Haag (Zuidwal),House Herderinnestraat,070Wonen,/house-for-rent/den-haag/0203f85b/herderinnestraat,https://casco-media-prod.global.ssl.fastly.net/0203f85b-e796-519c-8773-b4051782b3dd/2bad16f12e5f627c2ee50bca3dd1c33c.jpg?width=600&auto=webp,53,3,,,,1900,,2512EA,2021-10-01
59,1650,1072 JE Amsterdam (Nieuwe Pijp),Apartment Cornelis Trooststraat,Expats. Amsterdam Rentals ,/apartment-for-rent/amsterdam/1ca6c875/cornelis-trooststraat,https://media.pararius.nl/image/PR0001658000/PR0001658782/image/jpeg/400x600/AmsterdamCornelisTrooststraat-2394_1.jpg,55,2,Furnished,,,,,1072JE,2021-10-01
60,1125,3022 BJ Rotterdam (Nieuwe Westen),Apartment Burgemeester Meineszlaan,Rent an Apartment,/apartment-for-rent/rotterdam/741cc415/burgemeester-meineszlaan,https://casco-media-prod.global.ssl.fastly.net/741cc415-0374-55c0-b4b2-8267dc92ddc9/dbfb863362530847e5382a89c5f0ee95.jpg?width=600&auto=webp,138,3,Upholstered,,,,,3022BJ,2021-10-01
61,950,5707 VJ Helmond (West),Apartment 2e Haagstraat,Regio56 Makelaars & Huisvesting ,/apartment-for-rent/helmond/612f24f6/2e-haagstraat,https://casco-media-prod.global.ssl.fastly.net/612f24f6-1d76-52e2-962b-7cfdf862985e/00e5ec949dea0ac7f6f1a6101864d6fc.jpg?width=600&auto=webp,60,2,Upholstered,,,,,5707VJ,2021-10-01
62,950,3811 JK Amersfoort (Coninckstraat),Apartment Pothstraat 37 C,vanderHulst Verhuurmakelaar,/apartment-for-rent/amersfoort/4ba8e5eb/pothstraat,https://casco-media-prod.global.ssl.fastly.net/4ba8e5eb-67dd-50ad-b0a0-b5f1c0a39ebd/487094d90741f2ac34a1bf505278f127.jpg?width=600&auto=webp,40,2,Upholstered,,,,,3811JK,2021-10-01
