city,latitude,longitude,Provincie,population
Grave,51.7592,5.7383,Noord-Brabant,12483.0
Neerijnen,51.8333,5.2833,Gelderland,12397.0
Dokkum,53.3253,5.9989,Fryslân,12365.0
Goor,52.2333,6.5861,Overijssel,12349.0
Axel,51.2656,3.9089,Zeeland,12280.0
Hattem,52.4744,6.0697,Gelderland,12173.0
Heythuysen,51.2496,5.8983,Limburg,12106.0
Oosterbroek,53.1299,6.8738,Drenthe,12076.0
Budel,51.2725,5.5744,Noord-Brabant,11926.0
Schoonhoven,51.9475,4.8486,Zuid-Holland,11922.0
Opmeer,52.7033,4.9444,Noord-Holland,11779.0
Ubach over Worms,50.9158,6.0517,Limburg,11761.0
Sint Anthonis,51.6258,5.8811,Noord-Brabant,11606.0
Eijsden,50.7778,5.7108,Limburg,11565.0
Wormer,52.4972,4.8089,Noord-Holland,11470.0
Hazerswoude-Dorp,52.1,4.5833,Zuid-Holland,11366.0
Zierikzee,51.6497,3.9164,Zeeland,11360.0
Ulrum,53.3589,6.3331,Groningen,11212.0
Zelhem,52.0067,6.3486,Gelderland,11203.0
Blaricum,52.2728,5.2422,Noord-Holland,11202.0
Laren,52.2544,5.2317,Noord-Holland,11195.0
Doesburg,52.0167,6.1333,Gelderland,11148.0
Doornspijk,52.4192,5.8161,Gelderland,11116.0
Schipluiden,51.9833,4.3167,Zuid-Holland,11113.0
Neede,52.1333,6.6167,Gelderland,11102.0
Diepenveen,52.2894,6.15,Overijssel,10838.0
Boekel,51.6011,5.6742,Noord-Brabant,10588.0
Borculo,52.1167,6.5167,Gelderland,10498.0
Monnickendam,52.4547,5.0353,Noord-Holland,10316.0
Bleiswijk,52.01,4.54,Zuid-Holland,10258.0
Prinsenbeek,51.5981,4.7136,Noord-Brabant,10168.0
Doorn,52.0333,5.35,Utrecht,10124.0
Vaals,50.7694,6.0181,Limburg,10092.0
Haelen,51.2358,5.9547,Limburg,10051.0
Nieuwenhagen,50.9039,6.04,Limburg,10022.0
Bolsward,53.0667,5.5333,Fryslân,9974.0
Scherpenzeel,52.0667,5.4833,Gelderland,9873.0
Vlist,51.9867,4.7889,Zuid-Holland,9806.0
Oostzaan,52.4406,4.8789,Noord-Holland,9757.0
Liesveld,51.9156,4.8456,Zuid-Holland,9746.0
Vries,53.0733,6.5769,Drenthe,9646.0
Heteren,51.9575,5.755,Gelderland,9593.0
Wamel,51.88,5.4692,Gelderland,9585.0
